Name,Sex,Age,Height,Weight,Team,Sport,Medals Won
"  Gabrielle Marie ""Gabby"" Adcock (White-)",F,25,167,,Great Britain,Badminton,0
 Th Anh,F,20,165,58,Vietnam,Fencing,0
Aaron Arthur Cook,M,25,183,80,Moldova,Taekwondo,0
Aaron Brown,M,24,198,79,Canada,Athletics,1
Aauri Lorena Bokesa Abia,F,27,180,62,Spain,Athletics,0
Abby May Erceg,F,26,177,68,New Zealand,Football,0
Abdelati El-Guesse,M,23,187,64,Morocco,Athletics,0
Abdelghani Demmou,M,27,185,75,Algeria,Football,0
Abdelhafid Benchabla,M,29,184,81,Algeria,Boxing,0
Abdelhalim Muhammad Abou,M,27,210,88,Egypt,Volleyball,0
Abdelkader Chadi,M,29,175,60,Algeria,Boxing,0
Abdelkhalek El-Banna,M,28,193,95,Egypt,Rowing,0
Abdelmajid El-Hissouf,M,23,170,56,Morocco,Athletics,0
Abdelraouf Benguit,M,20,170,65,Algeria,Football,0
Abderrahmane Benamadi,M,31,183,90,Algeria,Judo,0
Abdoul Razak Issoufou Alfaga,M,21,207,90,Niger,Taekwondo,1
Abdoullah Bamoussa,M,30,170,59,Italy,Athletics,0
"Abdul Wahab ""Alade"" Aminu",M,28,210,102,Nigeria,Basketball,0
Abdulaziz Al-Shatti,M,25,,,Individual Olympic Athletes,Fencing,0
Abdullah Al-Rashidi,M,52,183,83,Individual Olympic Athletes,Shooting,1
Abdullah Hel Baki,M,27,170,82,Bangladesh,Shooting,0
Abdulqdir Abdullayev,M,28,188,91,Azerbaijan,Boxing,0
Abdulrahman Al-Faihan,M,30,,,Individual Olympic Athletes,Shooting,0
Abhinav Bindra,M,33,173,70,India,Shooting,0
"Abigail ""Abbey"" D'Agostino",F,24,160,50,United States,Athletics,0
"Abigail ""Abbie"" Brown",F,20,176,71,Great Britain,Rugby Sevens,0
Abraham Naibei Cheroben,M,23,176,60,Bahrain,Athletics,0
Abrar Osman Adem,M,22,168,58,Eritrea,Athletics,0
Abubakar Abbas Abbas,M,20,175,66,Bahrain,Athletics,0
Adam Batirov,M,31,165,71,Bahrain,Wrestling,0
Adam Cwalina,M,31,187,81,Poland,Badminton,0
Adam Graham Dixon,M,29,169,70,Great Britain,Hockey,0
Adama Diatta,M,27,165,57,Senegal,Wrestling,0
Adelina Maria Cojocariu-Bogus,F,27,186,75,Romania,Rowing,1
Adem Boudjemline,M,22,180,85,Algeria,Wrestling,0
Adenzia Aparecida Ferreira da Silva,F,29,187,65,Brazil,Volleyball,0
Adilson Jos da Silva,M,44,175,75,Brazil,Golf,0
Aditi Ashok,F,18,173,57,India,Golf,0
Adiyasambuu Tsolmon,F,23,165,65,Mongolia,Judo,0
Adlan Aliyevich Abdurashidov,M,26,172,60,Russia,Boxing,0
"Adrian ""Adri"" Delgado Baches",M,26,184,83,Brazil,Water Polo,0
Adrian Bocki,M,26,174,62,Poland,Athletics,0
Adrian Crian,M,36,186,85,Romania,Table Tennis,0
Adrian Dziko,M,26,169,65,Poland,Badminton,0
Adrian Ignacio Carambula Raurich,M,28,183,84,Italy-2,Beach Volleyball,0
"Adriana ""Adrianinha"" Moiss Pinto",F,37,170,65,Brazil,Basketball,0
Adriana Aparecida da Silva,F,35,166,52,Brazil,Athletics,0
Adriana Yamila Daz Gonzlez,F,15,160,50,Puerto Rico,Table Tennis,0
Adriana dos Santos Arajo,F,34,167,60,Brazil,Boxing,0
Adrien Bart,M,24,185,84,France,Canoeing,0
Adrien Dipanda,M,28,202,105,France,Handball,1
Adrin Chacn Muoz,M,27,187,90,Cuba,Athletics,0
Afaf Muhammad El-Hodhod,F,19,163,75,Egypt,Shooting,0
Afef Ben Ismail,F,22,173,60,Tunisia,Canoeing,0
Agnieszka Dygacz,F,31,160,47,Poland,Athletics,0
Agustina Albertario,F,23,165,55,Argentina,Hockey,0
Ahmad Abughaush,M,20,178,68,Jordan,Taekwondo,1
Ahmad Al-Afasi,M,33,,,Individual Olympic Athletes,Shooting,0
Ahmad Amsyar Azman,M,23,162,62,Malaysia,Diving,0
Ahmad Mohamed Attellesey,M,21,,,Libya,Swimming,0
Ahmed Abdel Naeim,M,31,197,87,Egypt,Volleyball,0
Ahmed Abdelaal,M,27,188,89,Egypt,Volleyball,0
Ahmed Abdelrahman,M,20,165,60,Egypt,Judo,0
Ahmed Afifi,M,28,194,92,Egypt,Volleyball,0
Ahmed Akram Abbas Mahmoud,M,19,188,80,Egypt,Swimming,0
Ahmed Ali,M,22,173,75,Sudan,Athletics,0
Ahmed Bader Magour,M,20,190,90,Qatar,Athletics,0
Ahmed El-Kotb,M,25,197,80,Egypt,Volleyball,0
Ahmed Mahmud Muhammad Saleh El-Nemr,M,37,183,84,Egypt,Archery,0
Ahmed Moustafa Nasr El-Ahmar,M,32,181,79,Egypt,Handball,0
Ahmed Murad Darwish,M,35,172,80,Egypt,Shooting,0
Ahymara del Carmen Espinoza Echenique,F,31,170,80,Venezuela,Athletics,0
Ai Yanhan,F,14,168,54,China,Swimming,0
Aina Cid Centelles,F,21,170,60,Spain,Rowing,0
Ajla Del Ponte,F,20,168,56,Switzerland,Athletics,0
"Akalaini ""Bui"" Baravilala",F,25,168,75,United States,Rugby Sevens,0
Akossiwa Claire Ayivon,F,19,,,Togo,Rowing,0
Alaa Ali Mhawi,M,20,178,68,Iraq,Football,0
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,25,188,87,Egypt,Fencing,0
Alan Campbell,M,33,191,96,Great Britain,Rowing,0
Alana Barber,F,29,163,52,New Zealand,Athletics,0
Alana Boyd,F,32,171,59,Australia,Athletics,0
Alastair Richard Brogdon,M,28,183,76,Great Britain,Hockey,0
Albert Espaol Lifante,M,30,189,86,Spain,Water Polo,0
Albert Idel Bravo Morales,M,28,199,88,Venezuela,Athletics,0
Alberth Josu Elis Martnez,M,20,184,77,Honduras,Football,0
Alberto lvarez Muoz,M,25,191,78,Mexico,Athletics,0
Albta Dufkov,F,26,172,60,Czech Republic,Synchronized Swimming,0
Aldemir Gomes da Silva Jnior,M,24,193,80,Brazil,Athletics,0
Alejandra Jhonay de Jess Bentez Romero,F,36,169,62,Venezuela,Fencing,0
"Alejandro ""lex"" Abrines Redondo",M,23,198,93,Spain,Basketball,1
Aleksandr Aleksandrov,M,26,189,93,Azerbaijan,Rowing,0
Aleksandr Aleksandrovich Bryukhankov,M,29,184,79,Russia,Triathlon,0
Aleksandr Ivanovich Bury,M,28,203,93,Belarus,Tennis,0
Aleksandr Nikolayevich Bersanov,M,23,176,94,Belarus,Weightlifting,0
Aleksandr Nikolayevich Buykevich,M,31,191,80,Belarus,Fencing,0
Aleksandra Cotti,F,27,167,65,Italy,Water Polo,1
Aleksandra Crvendaki,F,20,187,76,Serbia,Basketball,1
Aleksey Aleksandrovich Alipov,M,40,175,80,Russia,Shooting,0
Aleksey Alekseyevich Denisenko,M,22,185,68,Russia,Taekwondo,1
Aleksey Borisovich Cheremisinov,M,31,183,75,Russia,Fencing,1
Aleksey Sergeyevich Bryansky,M,18,192,82,Russia,Swimming,0
Aleksey Viktorovich Dergunov,M,31,187,95,Kazakhstan,Canoeing,0
Alemu Bekele Gebre,M,26,162,59,Bahrain,Athletics,0
Alessandra Aguilar Morn,F,38,165,50,Spain,Athletics,0
Alessandro De Marchi,M,30,181,66,Italy,Cycling,0
Alex Amankwah,M,24,,,Ghana,Athletics,0
Alex Beddoes,M,21,181,74,Cook Islands,Athletics,0
Alex Bowen,M,22,196,102,United States,Water Polo,0
Alex Di Giorgio,M,26,185,75,Italy,Swimming,0
"Alexander ""Alex"" Edmondson",M,22,184,76,Australia,Cycling,1
"Alexander ""Alex"" ejka",M,45,173,77,Germany,Golf,0
Alexander Belonogoff,M,26,187,90,Australia,Rowing,1
Alexander Brouwer,M,26,198,88,Netherlands-1,Beach Volleyball,1
Alexander Choupenitch,M,22,196,89,Czech Republic,Fencing,0
"Alexander German ""Sander"" Baart",M,28,178,76,Netherlands,Hockey,0
Alexander Mah Owens Drysdale,M,37,200,102,New Zealand,Rowing,1
"Alexandra Mary L. ""Alex"" Danson",F,31,167,56,Great Britain,Hockey,1
Alexandra Priscila do Nascimento,F,34,177,68,Brazil,Handball,0
Alexandre Bouzaid,M,35,168,75,Senegal,Fencing,0
Alexandre Camarasa,M,29,193,100,France,Water Polo,0
Alexandre Camargo,M,17,177,75,Brazil,Fencing,0
Alexandrina Cabral Barbosa,F,30,175,62,Spain,Handball,0
Alfonso Benavides Lpez de Ayala,M,25,182,86,Spain,Canoeing,0
Alfredo Jos Campo Vintimilla,M,23,192,90,Ecuador,Cycling,0
Ali Adnan Kadhim Nassir Al-Tameemi,M,22,185,71,Iraq,Football,0
Ali Eren Demirezen,M,26,189,91,Turkey,Boxing,0
Ali Faez Atia,M,21,180,75,Iraq,Football,0
Ali Saleh El-Ghrari,M,19,,,Libya,Archery,0
Ali Yousef Al-Rumaihi,M,34,177,86,Qatar,Equestrianism,0
Alia Shanee Atkinson,F,27,172,71,Jamaica,Swimming,0
Alice Aprot Nawowuna,F,22,152,54,Kenya,Athletics,0
Alicia Brown,F,26,165,57,Canada,Athletics,0
Alicia Cebrin Martnez de Lagos,F,33,168,68,Spain,Sailing,0
Alicia Jane Blagg,F,19,167,60,Great Britain,Diving,0
Alicia Jayne Coutts,F,28,176,69,Australia,Swimming,0
Alin Alexuc-Ciurariu,M,26,191,105,Romania,Wrestling,0
Alin Coste,M,24,201,95,Romania,Swimming,0
Alina Armas,F,32,166,53,Namibia,Athletics,0
Aline Villares Reis,F,27,162,60,Brazil,Football,0
Alison Conte Cerutti,M,30,203,106,Brazil-1,Beach Volleyball,1
Alistair Bond,M,26,186,71,New Zealand,Rowing,0
Alistair Edward Brownlee,M,28,184,70,Great Britain,Triathlon,1
Aliyah Abrams,F,19,163,53,Guyana,Athletics,0
Aliz Cornet,F,26,173,60,France,Tennis,0
Alla Kostiantynivna Cherkasova,F,27,165,75,Ukraine,Wrestling,0
Allan Alexander Banegas Murillo,M,22,180,76,Honduras,Football,0
Allan Lopes Mamdio do Carmo,M,27,174,73,Brazil,Swimming,0
Allison Beveridge,F,23,169,62,Canada,Cycling,1
Allison M. Brock,F,36,168,59,United States,Equestrianism,1
Allistar Clarke,M,25,187,71,Saint Kitts and Nevis,Athletics,0
Allysha Chapman,F,27,160,56,Canada,Football,1
Almaz Ayana Eba,F,24,166,47,Ethiopia,Athletics,2
Alonso Reno Edward Henry,M,26,181,76,Panama,Athletics,0
"Alvaro Affonso ""Doda"" de Miranda Neto",M,43,186,86,Brazil,Equestrianism,0
Alyce Burnett,F,23,182,71,Australia,Canoeing,0
Alyn Camara,M,27,196,84,Germany,Athletics,0
Alyona Viktorovna Dubitskaya (Grishko-),F,26,180,76,Belarus,Athletics,0
Alyson Dixon,F,37,155,43,Great Britain,Athletics,0
Alyssa Bull,F,20,173,65,Australia,Canoeing,0
Alyssa Conley,F,25,176,63,South Africa,Athletics,0
Amadou Camara,M,22,163,69,Guinea,Swimming,0
Amaia Erbina Araa,F,19,171,68,Spain,Rugby Sevens,0
Amalie Dideriksen,F,20,175,62,Denmark,Cycling,0
Amanda Carolina Gomes de Arajo,F,26,162,54,Brazil,Rugby Sevens,0
Amanda Elmore,F,25,180,80,United States,Rowing,1
Amanda Mildred Carr,F,26,165,60,Thailand,Cycling,0
Amanda Sinegugu Dlamini,F,28,162,61,South Africa,Football,0
Amas Daniel,M,26,165,65,Nigeria,Wrestling,0
Amber Campbell,F,35,171,90,United States,Athletics,0
Amel Bouderra,F,27,163,,France,Basketball,0
"Amelia ""Amy"" Cozad",F,25,160,51,United States,Diving,0
Amina Barsham Bakhit,F,25,175,59,Sudan,Athletics,0
Amina Bettiche,F,28,165,55,Algeria,Athletics,0
Aminat Oluwafunmilayo Adeniyi,F,23,165,58,Nigeria,Wrestling,0
Amine Bannour,M,26,196,102,Tunisia,Handball,0
Amjad Attwan Kadhim,M,19,180,72,Iraq,Football,0
Amor Ben Yahia,M,31,175,63,Tunisia,Athletics,0
